x,y
63,60
64,60
65,60
66,60
67,60
68,60
69,60
70,60
71,60
72,60
73,60
74,60
75,60
76,60
77,60
78,60
79,60
80,60
81,60
82,60
83,60
84,60
85,60
86,60
87,60
88,60
89,60
90,60
91,60
92,60
93,60
94,60
95,60
96,60
97,60
98,60
99,60
100,60
101,60
102,60
103,60
104,60
105,60
106,60
107,60
108,60
109,60
110,60
111,60
112,60
113,60
114,60
115,60
116,60
117,60
118,60
119,60
120,60
121,60
122,60
123,60
124,60
125,60
126,60
127,60
128,60
129,60
130,60
131,60
132,60
133,60
134,60
135,60
136,60
137,60
138,60
139,60
140,60
141,60
142,60
143,60
144,60
145,60
146,60
147,60
148,60
149,60
150,60
151,60
152,60
153,60
154,60
155,60
156,60
157,60
158,60
159,60
160,60
161,60
162,60
163,60
164,60
165,60
166,60
167,60
168,60
169,60
170,60
171,60
172,60
173,60
174,60
175,60
176,60
177,60
178,60
179,60
180,60
181,60
182,60
183,60
184,60
185,60
186,60
187,60
188,60
189,60
190,60
191,60
192,60
193,60
194,60
195,60
196,60
197,60
198,60
199,60
200,60
201,60
202,60
203,60
204,60
205,60
206,60
207,60
208,60
209,60
210,60
61,61
62,61
211,61
212,61
213,61
214,61
215,61
216,61
217,61
218,61
60,62
219,62
220,62
221,62
60,63
222,63
223,63
224,63
225,63
59,64
226,64
227,64
228,64
59,65
229,65
230,65
231,65
58,66
232,66
233,66
58,67
234,67
235,67
236,67
57,68
237,68
238,68
57,69
239,69
240,69
57,70
241,70
242,70
56,71
243,71
244,71
56,72
245,72
246,72
55,73
247,73
248,73
55,74
249,74
250,74
55,75
251,75
54,76
252,76
54,77
252,77
54,78
252,78
53,79
252,79
53,80
252,80
53,81
253,81
52,82
253,82
52,83
253,83
52,84
253,84
52,85
253,85
51,86
253,86
51,87
253,87
51,88
253,88
51,89
253,89
51,90
253,90
51,91
254,91
50,92
254,92
50,93
254,93
50,94
254,94
50,95
254,95
50,96
254,96
50,97
254,97
50,98
254,98
50,99
254,99
50,100
254,100
50,101
254,101
50,102
254,102
50,103
254,103
50,104
254,104
50,105
254,105
50,106
254,106
50,107
254,107
50,108
254,108
50,109
254,109
50,110
254,110
50,111
254,111
50,112
254,112
50,113
254,113
50,114
254,114
50,115
254,115
50,116
255,116
50,117
255,117
50,118
255,118
50,119
255,119
50,120
255,120
50,121
255,121
50,122
255,122
50,123
255,123
50,124
255,124
50,125
255,125
50,126
255,126
50,127
255,127
50,128
255,128
50,129
255,129
50,130
255,130
50,131
255,131
50,132
255,132
50,133
255,133
50,134
255,134
50,135
255,135
50,136
255,136
50,137
255,137
50,138
255,138
50,139
255,139
50,140
255,140
50,141
255,141
50,142
255,142
50,143
255,143
50,144
255,144
50,145
255,145
50,146
255,146
50,147
255,147
50,148
255,148
50,149
255,149
50,150
255,150
50,151
255,151
50,152
255,152
50,153
255,153
50,154
255,154
50,155
255,155
50,156
255,156
50,157
255,157
50,158
255,158
50,159
255,159
50,160
255,160
50,161
255,161
50,162
255,162
50,163
255,163
50,164
255,164
50,165
255,165
50,166
255,166
50,167
255,167
50,168
255,168
50,169
255,169
50,170
255,170
50,171
255,171
50,172
255,172
50,173
255,173
50,174
255,174
50,175
255,175
50,176
255,176
50,177
255,177
50,178
255,178
50,179
255,179
50,180
255,180
50,181
255,181
50,182
255,182
50,183
255,183
50,184
255,184
50,185
149,185
255,185
50,186
149,186
255,186
50,187
150,187
255,187
50,188
150,188
255,188
50,189
151,189
255,189
50,190
151,190
255,190
50,191
151,191
255,191
50,192
151,192
255,192
50,193
151,193
255,193
50,194
151,194
255,194
50,195
151,195
255,195
50,196
151,196
255,196
50,197
151,197
255,197
50,198
152,198
255,198
50,199
152,199
255,199
50,200
152,200
255,200
50,201
151,201
255,201
50,202
151,202
255,202
50,203
151,203
255,203
50,204
151,204
255,204
50,205
151,205
255,205
50,206
151,206
255,206
50,207
151,207
255,207
50,208
150,208
255,208
50,209
150,209
255,209
50,210
150,210
255,210
50,211
150,211
255,211
50,212
150,212
255,212
50,213
150,213
255,213
50,214
150,214
255,214
50,215
150,215
255,215
50,216
150,216
255,216
50,217
150,217
255,217
50,218
150,218
255,218
50,219
150,219
255,219
50,220
150,220
255,220
50,221
150,221
255,221
50,222
150,222
255,222
50,223
149,223
255,223
50,224
149,224
255,224
50,225
149,225
255,225
50,226
149,226
255,226
50,227
149,227
255,227
50,228
149,228
255,228
50,229
149,229
255,229
50,230
149,230
255,230
49,231
149,231
255,231
49,232
149,232
255,232
49,233
149,233
255,233
49,234
149,234
255,234
49,235
149,235
255,235
48,236
149,236
255,236
48,237
149,237
255,237
48,238
149,238
255,238
48,239
149,239
255,239
48,240
149,240
255,240
47,241
149,241
255,241
47,242
149,242
255,242
47,243
149,243
255,243
47,244
149,244
255,244
47,245
149,245
255,245
46,246
149,246
255,246
46,247
149,247
255,247
46,248
149,248
255,248
46,249
149,249
255,249
45,250
149,250
255,250
45,251
149,251
255,251
44,252
149,252
255,252
44,253
149,253
255,253
44,254
149,254
255,254
43,255
149,255
255,255
43,256
149,256
255,256
42,257
149,257
255,257
42,258
149,258
255,258
41,259
149,259
255,259
40,260
149,260
255,260
40,261
149,261
255,261
39,262
149,262
255,262
39,263
149,263
255,263
38,264
149,264
255,264
38,265
148,265
255,265
37,266
148,266
255,266
36,267
147,267
255,267
35,268
147,268
255,268
34,269
147,269
255,269
33,270
147,270
255,270
32,271
147,271
255,271
31,272
147,272
255,272
30,273
147,273
255,273
29,274
147,274
255,274
28,275
147,275
255,275
28,276
147,276
255,276
28,277
147,277
255,277
27,278
147,278
255,278
27,279
147,279
255,279
26,280
146,280
255,280
26,281
146,281
255,281
26,282
146,282
255,282
25,283
146,283
255,283
25,284
146,284
255,284
25,285
146,285
255,285
24,286
146,286
255,286
24,287
146,287
255,287
24,288
145,288
255,288
23,289
145,289
255,289
23,290
145,290
255,290
23,291
145,291
255,291
23,292
145,292
255,292
22,293
145,293
255,293
22,294
145,294
255,294
22,295
145,295
255,295
22,296
145,296
255,296
21,297
145,297
255,297
21,298
145,298
255,298
21,299
145,299
255,299
21,300
145,300
255,300
20,301
145,301
255,301
20,302
145,302
255,302
20,303
145,303
255,303
20,304
145,304
255,304
19,305
145,305
255,305
19,306
145,306
255,306
19,307
145,307
255,307
19,308
145,308
255,308
18,309
145,309
255,309
18,310
144,310
255,310
18,311
144,311
255,311
18,312
144,312
255,312
17,313
144,313
255,313
17,314
144,314
255,314
17,315
144,315
255,315
17,316
144,316
255,316
17,317
144,317
255,317
17,318
144,318
255,318
17,319
144,319
255,319
17,320
144,320
255,320
17,321
144,321
255,321
17,322
144,322
255,322
17,323
144,323
255,323
17,324
144,324
255,324
17,325
144,325
255,325
17,326
143,326
255,326
17,327
143,327
255,327
17,328
143,328
255,328
17,329
142,329
255,329
17,330
142,330
255,330
17,331
142,331
254,331
17,332
141,332
254,332
17,333
141,333
254,333
17,334
141,334
254,334
17,335
141,335
254,335
17,336
140,336
254,336
17,337
