kappa_m2,kappa_m1,kappa_0,kappa_p1,kappa_p2,yaw,steering,speed
0.0,-1.4517707244726035e-12,1.8745016438745026,2.9436320281311654,1.4012864188796934,0.2956287695795046,0.2344827651977539,3.832101821899414
-1.4517707244726035e-12,1.8745016438745026,2.9436320281311654,1.4012864188796934,1.5217903095858498,0.2956287695795046,0.2452506422996521,3.832101821899414
1.8745016438745026,2.9436320281311654,1.4012864188796934,1.5217903095858498,1.0795099165702615,0.2970752930804377,0.24630506336688995,3.832101821899414
2.9436320281311654,1.4012864188796934,1.5217903095858498,1.0795099165702615,0.9035865732504488,0.30269839260538356,0.2344827651977539,3.832101821899414
1.4012864188796934,1.5217903095858498,1.0795099165702615,0.9035865732504488,0.5780474701201541,0.30961321334968805,0.25517240166664124,3.8883228302001953
1.5217903095858498,1.0795099165702615,0.9035865732504488,0.5780474701201541,0.5351785827564495,0.32637164514052647,0.24482758343219757,3.8883228302001953
1.0795099165702615,0.9035865732504488,0.5780474701201541,0.5351785827564495,0.4337270284776248,0.340275240613891,0.22413793206214905,3.8883228302001953
0.9035865732504488,0.5780474701201541,0.5351785827564495,0.4337270284776248,0.39819124447829496,0.36440749462331373,0.2146008014678955,3.8883228302001953
0.5780474701201541,0.5351785827564495,0.4337270284776248,0.39819124447829496,0.35528305497879115,0.38202991240630674,0.20603685081005096,3.944364547729492
0.5351785827564495,0.4337270284776248,0.39819124447829496,0.35528305497879115,0.367002442814558,0.410743971324284,0.18767821788787842,3.944364547729492
0.4337270284776248,0.39819124447829496,0.35528305497879115,0.367002442814558,0.31808895125672526,0.42989703136954466,0.17241379618644714,4.00029993057251
0.39819124447829496,0.35528305497879115,0.367002442814558,0.31808895125672526,0.3336138044857648,0.4591523931526833,0.1634741723537445,4.00029993057251
0.35528305497879115,0.367002442814558,0.31808895125672526,0.3336138044857648,0.30479694961501136,0.47967676978155777,0.15204975008964539,4.055812358856201
0.367002442814558,0.31808895125672526,0.3336138044857648,0.30479694961501136,0.28722569102350604,0.5084879511477505,0.13523072004318237,4.055812358856201
0.31808895125672526,0.3336138044857648,0.30479694961501136,0.28722569102350604,0.25388862930241457,0.5279166530262553,0.12068965286016464,4.110994338989258
0.3336138044857648,0.30479694961501136,0.28722569102350604,0.25388862930241457,0.22790900251521287,0.5569523510952802,0.10000000149011612,4.110994338989258
0.30479694961501136,0.28722569102350604,0.25388862930241457,0.22790900251521287,0.2068117226630532,0.5751798838042013,0.12142236530780792,4.165698051452637
0.28722569102350604,0.25388862930241457,0.22790900251521287,0.2068117226630532,0.22453445103572925,0.6011943400278872,0.10000000149011612,4.165698051452637
0.25388862930241457,0.22790900251521287,0.2068117226630532,0.22453445103572925,0.20630506692477454,0.6168675772218575,0.10000000149011612,4.2200026512146
0.22790900251521287,0.2068117226630532,0.22453445103572925,0.20630506692477454,0.2022027264290446,0.6376121072292309,0.11183072626590729,4.2733306884765625
0.2068117226630532,0.22453445103572925,0.20630506692477454,0.2022027264290446,0.19937364422616555,0.6521251298638734,0.09310344606637955,4.2733306884765625
0.22453445103572925,0.20630506692477454,0.2022027264290446,0.19937364422616555,0.19216660435155108,0.672849498332534,0.10000000149011612,4.325786113739014
0.20630506692477454,0.2022027264290446,0.19937364422616555,0.19216660435155108,0.17860006080496726,0.6854850638129172,0.10000000149011612,4.377289772033691
0.2022027264290446,0.19937364422616555,0.19216660435155108,0.17860006080496726,0.179819456577037,0.7062939770735785,0.09310344606637955,4.377289772033691
0.19937364422616555,0.19216660435155108,0.17860006080496726,0.179819456577037,0.17281196372232285,0.7193535293202414,0.10000000149011612,4.427879333496094
