d_m,heading_error,kappa,vx,kappa_lookahead,steering
-0.06101627845954841,0.07242731463909236,-0.5803494668633877,2.20393471184051,0.9970998775432033,0.014101912267506123
-0.06245370474119906,0.11344940454156172,-0.3635195331898199,2.2053767104447903,1.0007260871914812,0.014101912267506123
-0.0488746163160238,0.10830822816522456,-0.3635195331898199,2.2067737939015024,1.0007260871914812,0.0517241396009922
-0.0429282119910968,0.10439328491998245,-0.3635195331898199,2.2093676202278996,1.0007260871914812,0.0517241396009922
-0.04776596418579184,0.10073015672195094,-0.3635195331898199,2.211907967656421,1.0007260871914812,0.06551723927259445
-0.06090578717683009,0.09785261220924447,-0.3635195331898199,2.2144003311743874,1.0007260871914812,0.06551723927259445
-0.045942378325866375,0.12174719689987135,-0.14784251729873887,2.2168316688285774,1.005349022743235,0.06551723927259445
-0.033229487705410274,0.12023062440471177,-0.14784251729873887,2.2192101305149254,1.005349022743235,0.10000000149011612
-0.032852708724666994,0.11946001938190398,-0.14784251729873887,2.2236188656695974,1.005349022743235,0.10000000149011612
-0.0451916343604031,0.11981148208085202,-0.14784251729873887,2.2279692942489016,1.005349022743235,0.15172414481639862
-0.04756127693662687,0.12543479643084354,0.07010947590148471,2.2321970102018946,1.0064176305435781,0.15172414481639862
-0.027602705753311894,0.12759509042017392,0.07010947590148471,2.23539910976701,1.0064176305435781,0.15172414481639862
-0.017505717197848013,0.13050684187131134,0.07010947590148471,2.238371757848118,1.0064176305435781,0.16420967876911163
-0.028680533000441183,0.13343899077482946,0.07010947590148471,2.2413481937351736,1.0064176305435781,0.16420967876911163
-0.04844690168366931,0.1369583381681836,0.07010947590148471,2.2442806384911997,1.0064176305435781,0.20344828069210052
-0.031609471177022175,0.12362279296796763,0.28791408753923553,2.247138228914054,1.010169605251728,0.20344828069210052
-0.009508767676830744,0.12823350223275987,0.28791408753923553,2.2472716728316944,1.010169605251728,0.20344828069210052
-0.013950018208647568,0.13356067194289523,0.28791408753923553,2.2474027584739646,1.010169605251728,0.20344828069210052
